record_id,risk_type,scenario,risk_value,risk_class,hazard_source,risk_basis,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name,risk_type_ja,scenario_label,hazard_key
official_export_002:137,seismic,都心南部直下地震,5.871,6弱,,,13203,武蔵野市,National,Registered,有形文化財,建造物,building_direct,旧赤星鉄馬邸,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:165,seismic,都心南部直下地震,5.88,6弱,,,13203,武蔵野市,National,Registered,有形文化財,建造物,building_direct,旧東京市麻布区役所庁舎(日本獣医生命科学大学一号棟),想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:395,seismic,都心南部直下地震,5.797,6弱,,,13203,武蔵野市,National,Registered,有形文化財,建造物,building_direct,濵家住宅西洋館,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_003:26,seismic,都心南部直下地震,5.664,6弱,,,13203,武蔵野市,National,Designated,記念物,天然記念物,point,小金井(サクラ),想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:137,seismic,都心東部直下地震,5.895,6弱,,,13203,武蔵野市,National,Registered,有形文化財,建造物,building_direct,旧赤星鉄馬邸,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_002:165,seismic,都心東部直下地震,5.904,6弱,,,13203,武蔵野市,National,Registered,有形文化財,建造物,building_direct,旧東京市麻布区役所庁舎(日本獣医生命科学大学一号棟),想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_002:395,seismic,都心東部直下地震,5.856,6弱,,,13203,武蔵野市,National,Registered,有形文化財,建造物,building_direct,濵家住宅西洋館,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_003:26,seismic,都心東部直下地震,5.724,6弱,,,13203,武蔵野市,National,Designated,記念物,天然記念物,point,小金井(サクラ),想定震度,都心東部直下地震,想定震度｜都心東部直下地震
official_export_002:137,seismic,都心西部直下地震,5.865,6弱,,,13203,武蔵野市,National,Registered,有形文化財,建造物,building_direct,旧赤星鉄馬邸,想定震度,都心西部直下地震,想定震度｜都心西部直下地震
official_export_002:165,seismic,都心西部直下地震,5.904,6弱,,,13203,武蔵野市,National,Registered,有形文化財,建造物,building_direct,旧東京市麻布区役所庁舎(日本獣医生命科学大学一号棟),想定震度,都心西部直下地震,想定震度｜都心西部直下地震
official_export_002:395,seismic,都心西部直下地震,5.833,6弱,,,13203,武蔵野市,National,Registered,有形文化財,建造物,building_direct,濵家住宅西洋館,想定震度,都心西部直下地震,想定震度｜都心西部直下地震
official_export_003:26,seismic,都心西部直下地震,5.741,6弱,,,13203,武蔵野市,National,Designated,記念物,天然記念物,point,小金井(サクラ),想定震度,都心西部直下地震,想定震度｜都心西部直下地震
official_export_002:137,seismic,多摩東部直下地震,6.0124,6強以上,,,13203,武蔵野市,National,Registered,有形文化財,建造物,building_direct,旧赤星鉄馬邸,想定震度,多摩東部直下地震,想定震度｜多摩東部直下地震
official_export_002:165,seismic,多摩東部直下地震,6.0926,6強以上,,,13203,武蔵野市,National,Registered,有形文化財,建造物,building_direct,旧東京市麻布区役所庁舎(日本獣医生命科学大学一号棟),想定震度,多摩東部直下地震,想定震度｜多摩東部直下地震
official_export_002:395,seismic,多摩東部直下地震,5.9584,6弱,,,13203,武蔵野市,National,Registered,有形文化財,建造物,building_direct,濵家住宅西洋館,想定震度,多摩東部直下地震,想定震度｜多摩東部直下地震
