record_id,risk_type,scenario,risk_value,risk_class,hazard_source,risk_basis,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name,risk_type_ja,scenario_label,hazard_key
195,seismic,都心南部直下地震,5.666,6弱,,,13114,中野区,Tokyo Metropolitan,Designated,記念物,名勝,point,哲学堂公園,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
1000000001,seismic,都心南部直下地震,5.78,6弱,,,13114,中野区,Tokyo Metropolitan,Designated,記念物,旧跡,point,新井白石墓,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
1000000002,seismic,都心南部直下地震,5.813,6弱,,,13114,中野区,Tokyo Metropolitan,Designated,記念物,旧跡,point,鈴木九郎長者墓,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
1000000003,seismic,都心南部直下地震,5.607,6弱,,,13114,中野区,National,Designated,記念物,名勝,point,哲学堂公園,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
1000000004,seismic,都心南部直下地震,5.752,6弱,,,13114,中野区,Tokyo Metropolitan,Designated,民俗文化財,無形民俗文化財,point,江古田の獅子舞,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
2000000001,seismic,都心南部直下地震,5.722,6弱,,,13114,中野区,National,Registered,有形文化財,未細分,building_direct,旧野方配水塔,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
2000000002,seismic,都心南部直下地震,5.752,6弱,,,13114,中野区,National,Registered,有形文化財,未細分,building_direct,中村家住宅洋館,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
2000000003,seismic,都心南部直下地震,5.742,6弱,,,13114,中野区,National,Registered,有形文化財,未細分,building_direct,細井家住宅主屋,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
2000000004,seismic,都心南部直下地震,5.788,6弱,,,13114,中野区,National,Registered,有形文化財,未細分,building_direct,功運寺庫裏・鐘楼・山門,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
2000000005,seismic,都心南部直下地震,5.919,6弱,,,13114,中野区,National,Registered,有形文化財,未細分,building_direct,三岸家住宅アトリエ,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
2000000006,seismic,都心南部直下地震,5.634,6弱,,,13114,中野区,Municipal,Designated,有形文化財,未細分,building_direct,旧豊多摩監獄表門,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:172,seismic,都心南部直下地震,5.722,6弱,,,13114,中野区,National,Registered,有形文化財,建造物,building_direct,旧野方配水塔,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:208,seismic,都心南部直下地震,5.792,6弱,,,13114,中野区,National,Registered,有形文化財,建造物,building_direct,功運寺庫裏,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:209,seismic,都心南部直下地震,5.781,6弱,,,13114,中野区,National,Registered,有形文化財,建造物,building_direct,功運寺山門,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:210,seismic,都心南部直下地震,5.788,6弱,,,13114,中野区,National,Registered,有形文化財,建造物,building_direct,功運寺鐘楼,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:374,seismic,都心南部直下地震,5.752,6弱,,,13114,中野区,National,Registered,有形文化財,建造物,building_direct,中村家住宅洋館,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
official_export_002:424,seismic,都心南部直下地震,5.919,6弱,,,13114,中野区,National,Registered,有形文化財,建造物,building_direct,三岸家住宅アトリエ,想定震度,都心南部直下地震,想定震度｜都心南部直下地震
195,seismic,都心東部直下地震,5.755,6弱,,,13114,中野区,Tokyo Metropolitan,Designated,記念物,名勝,point,哲学堂公園,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
1000000001,seismic,都心東部直下地震,5.834,6弱,,,13114,中野区,Tokyo Metropolitan,Designated,記念物,旧跡,point,新井白石墓,想定震度,都心東部直下地震,想定震度｜都心東部直下地震
